id,stage,parent,entry_fill,min_candle_pos,green_only,rel_vol,min_rr,early_pct,be_arm_r,trail_pct,sizing,rotation,passes,train_total_return_pct,val_total_return_pct,train_cagr,val_cagr,train_max_drawdown_pct,val_max_drawdown_pct,train_win_rate,val_win_rate,train_profit_factor,val_profit_factor,train_num_trades,val_num_trades,train_avg_holding_days,val_avg_holding_days,train_n_target_hit,val_n_target_hit,train_n_stop_hit,val_n_stop_hit
B083,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,1.0,,fixed2L,none,False,-24.96095701863055,-5.060343063251582,-7.903010759305829,-3.4019109959883886,39.26908773376432,17.251900140576517,0.4790697674418605,0.5567010309278351,0.7636802117857391,0.9070184325264052,215,97,28.441860465116278,50.74226804123711,10,3,111,35
B084,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,1.0,8.0,fixed2L,none,False,-26.302008425671907,0.3953855778095372,-8.37792166018797,0.26335682497029556,33.18118217597998,15.69417826259043,0.3924914675767918,0.4260089686098655,0.757514550278285,1.004074438845784,293,223,15.095563139931741,17.242152466367713,11,4,48,16
B085,B,A068,close,0.5,False,gt_1_2x20d,1.0,70.0,1.0,12.0,fixed2L,none,False,-26.854309966801072,-3.3928174501679176,-8.575302844143728,-2.2743523500063367,37.57529294633063,15.749001017855901,0.44621513944223107,0.4583333333333333,0.7580075406820069,0.9391329745547592,251,144,22.0199203187251,29.680555555555557,13,5,85,19
B086,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,,,fixed2L,none,False,-26.644186962336757,6.60314297493152,-8.500084332469493,4.354003800490891,39.56413531333053,17.805222394644886,0.441747572815534,0.5774647887323944,0.7507980338653167,1.1689938149811339,206,71,30.57766990291262,71.5774647887324,23,7,113,24
B087,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,,8.0,fixed2L,none,False,-32.665376701291514,-1.5134880269674134,-10.71947380325562,-1.0113248861455926,36.30917051469688,17.312831926176152,0.3622641509433962,0.40096618357487923,0.6703168450588087,0.9754344715404586,265,207,16.20377358490566,18.115942028985508,20,8,47,14
B088,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,,12.0,fixed2L,none,False,-28.717307645266878,-2.095001586714129,-9.24904389162161,-1.4012729413174996,38.75342559324543,18.304600026474382,0.4051724137931034,0.44274809160305345,0.7302851867643673,0.9561268315111005,232,131,24.25,33.69465648854962,25,8,80,18
B089,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,1.0,,fixed2L,none,False,-25.715712513989743,4.786794013528772,-8.16954275344779,3.1655301154349225,40.672952363495824,17.805222394644886,0.43842364532019706,0.5416666666666666,0.753369422622475,1.1251841615026892,203,72,31.039408866995075,70.41666666666667,22,7,111,25
B090,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,1.0,8.0,fixed2L,none,False,-32.665376701291514,-1.5134880269674134,-10.71947380325562,-1.0113248861455926,36.30917051469688,17.312831926176152,0.3622641509433962,0.40096618357487923,0.6703168450588087,0.9754344715404586,265,207,16.20377358490566,18.115942028985508,20,8,47,14
B091,B,A068,close,0.5,False,gt_1_2x20d,1.0,80.0,1.0,12.0,fixed2L,none,False,-28.717307645266878,-2.095001586714129,-9.24904389162161,-1.4012729413174996,38.75342559324543,18.304600026474382,0.4051724137931034,0.44274809160305345,0.7302851867643673,0.9561268315111005,232,131,24.25,33.69465648854962,25,8,80,18
B092,B,A084,close,0.5,True,gt_prev,1.0,,,8.0,fixed2L,none,False,-31.827126741243628,-5.725255686271136,-10.402229559228527,-3.8533546702278265,38.214615097884455,15.775834512450865,0.32142857142857145,0.3693181818181818,0.6151312134981509,0.8925833152381832,224,176,18.214285714285715,21.113636363636363,44,34,36,11
